timestamp,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel
17.2688,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,-0.00732803,0.250821,-0.00732613
17.2711,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
17.273,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.250821,-0.00732613
17.2751,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
17.2768,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.2788,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0326166,0.00732613,0.251203,0.00732803
17.2807,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.2828,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.2847,-0.0455866,-0.00244236,0.0135422,0.00244236,0.106241,-0.00244236,0.0783939,0.0219784,0.0326166,-0.00732803,0.251203,-0.00732613
17.2868,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
17.2888,-0.0455866,-0.00244236,0.0135422,0.00732613,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.2908,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.2928,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.2947,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.297,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.251203,-0.00732613
17.2987,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.251203,-0.0219784
17.3009,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0326166,0.00732613,0.251203,-0.00732613
17.3031,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3048,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0329981,0.00732613,0.251203,-0.00732613
17.3068,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0326166,0.00732613,0.251203,-0.00732613
17.3088,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,-0.00732803,0.0329981,0.00732613,0.250821,-0.00732613
17.3107,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
17.3127,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,-0.00732803,0.0329981,0.00732613,0.251203,-0.0219784
17.3147,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3166,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.0219784
17.3185,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.00732613
17.3205,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.251203,-0.00732613
17.3225,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,-0.00732803,0.250821,-0.00732613
17.3246,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
17.3267,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.251203,-0.00732613
